TimeStamp,Type,Browser,BrowserVer,Os,OsVer,Resolution,Continent,Country,Province,City,Opid,Pid,Sid,IsFirst,Aid
2015-10-04 03:54:05.724000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 10,1680X1050,Europe,France,,,7718A84F-E459-4DFD-A6AE-F488CEF10D4E,,C8DA5641-DB78-4019-84FF-0C0784F01E07,False,286bad65-9e48-41b9-9c7e-014942e5e475
2015-10-04 04:03:26.408000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1829X1029,Asia,Japan,?saka,Ashihara,FC0FF6FC-A986-4F55-A0E3-DA62D93AE915,,3CF81659-B100-4D7B-9803-ACA33FC6D09B,True,UnknownIbizaUser
2015-10-04 04:02:11.782000000,Unexpected token u,Chrome,Chrome 45.0,Mac,Mac OS X 10.9,1920X1080,Europe,Ireland,,,C90EB3FD-4341-49E4-B6C4-38B5A72B2DAA,,47BF5A27-52B7-42D9-82C4-5C405E2844E3,False,03fd9f2d-06a3-4f3b-8a22-1944f851d9d1
2015-10-04 03:58:54.845000000,Unexpected token ,Chrome,Chrome 45.0,Windows,Windows 10,1366X768,Europe,Russia,Nizhegorodskaya Oblast',Nizhniy Novgorod,C10666B3-E957-4459-9254-C9DE9658DF40,,FC7D52E1-4DF0-4635-8CF8-5B8B183ECAAE,False,UnknownIbizaUser
2015-10-04 03:14:27.942000000,Invalid character,Internet Explorer,Internet Explorer 11.0,Windows,Windows 8.1,1920X1200,North America,United States,,,3ECA8D61-41AB-4D8E-920B-20A93E019ECC,,64E084E7-0C18-4494-91A8-C8488AFF03A0,False,1042e747-7656-4932-b874-de0b919430e7
2015-10-04 03:14:30.947000000,Invalid character,Internet Explorer,Internet Explorer 11.0,Windows,Windows 8.1,1920X1200,North America,United States,,,3ECA8D61-41AB-4D8E-920B-20A93E019ECC,,64E084E7-0C18-4494-91A8-C8488AFF03A0,False,1042e747-7656-4932-b874-de0b919430e7
2015-10-04 03:14:31.516000000,Invalid character,Internet Explorer,Internet Explorer 11.0,Windows,Windows 8.1,1920X1200,North America,United States,,,3ECA8D61-41AB-4D8E-920B-20A93E019ECC,,64E084E7-0C18-4494-91A8-C8488AFF03A0,False,1042e747-7656-4932-b874-de0b919430e7
2015-10-04 03:14:32.075000000,Invalid character,Internet Explorer,Internet Explorer 11.0,Windows,Windows 8.1,1920X1200,North America,United States,,,3ECA8D61-41AB-4D8E-920B-20A93E019ECC,,64E084E7-0C18-4494-91A8-C8488AFF03A0,False,1042e747-7656-4932-b874-de0b919430e7
2015-10-04 03:14:43.562000000,Script error.,Chrome,Chrome 45.0,Windows,Windows 10,2560X1440,Oceania,Australia,,,31097E19-2255-432E-B660-09E8DA28B958,,E44B8572-B2F2-4563-9981-3F0ECA1AE363,False,28ebf67f-9ce2-4705-b507-6c96cc28b757
2015-10-04 03:56:51.449000000,Invalid character,Internet Explorer,Internet Explorer 11.0,Windows,Windows 7,1280X1024,North America,United States,Washington,Olympia,817497B5-E085-4A16-9B40-5686933ACE30,,D5733732-EB8A-44C1-869F-26A6C79A1B05,False,3c8b18db-93af-4d7e-ae14-e6f45f2526d5
